sector,subsector,tipo,tipo_id,definicion,magnitudes,keywords_fuertes,keywords_debiles
ENERGIA,ALUMBRADO PUBLICO,ALUMBRADO PUBLICO,ENERGIA.ALUMBRADO_PUBLICO.ALUMBRADO_PUBLICO,"Iniciativas de nuevos tendidos de alumbrado público, a la ampliación del existente o al reemplazo de luminarias.",NUMERO DE LUMINARIAS,"alumbrado, nuevos, tendidos, reemplazo, luminarias","existente, ampliacion"
ENERGIA,AUTOGENERACION,HIDRAULICO,ENERGIA.AUTOGENERACION.HIDRAULICO,"Inicitivas que proveen servicio de energía para los beneficiarios, otorgado mediante sistemas de autogeneración utilizando la generación hidráulica.",POTENCIA INSTALADA (KW) | NUMERO DE EMPALMES,"hidraulico, hidraulica, utilizando, generacion, otorgado","autogeneracion, proveen, beneficiarios, energia, sistemas"
ENERGIA,AUTOGENERACION,HIBRIDO,ENERGIA.AUTOGENERACION.HIBRIDO,"Inicitivas que proveen servicio de energía para los beneficiarios, otorgado mediante sistemas de autogeneración híbridos, que combinan varias fuentes de energía.",POTENCIA INSTALADA (KW) | NUMERO DE EMPALMES,"hibrido, energia, hibridos, combinan, varias","fuentes, otorgado, autogeneracion, proveen, beneficiarios, sistemas"
ENERGIA,AUTOGENERACION,SOLAR TERMICO,ENERGIA.AUTOGENERACION.SOLAR_TERMICO,"Inicitivas que proveen servicio de energía para los beneficiarios, que abastecen de Agua Caliente Sanitaria mediante Sistemas Solares Térmicos (S.S.T.) en establecimientos públicos y en viviendas rurales",CAPACIDAD INSTALADA (l) | NUMERO DE SOLUCIONES,"solar, termico, abastecen, caliente, termicos","sanitaria, solares, viviendas, rurales, proveen, beneficiarios, energia, sistemas"
ENERGIA,AUTOGENERACION,FOTOVOLTAICO,ENERGIA.AUTOGENERACION.FOTOVOLTAICO,"Inicitivas que proveen servicio de energía para los beneficiarios, otorgado mediante sistemas de autogeneración que utiliza la energía fotovoltaica.",POTENCIA SISTEMA (KW) | NUMERO DE EMPALMES,"fotovoltaico, energia, fotovoltaica, utiliza, otorgado","autogeneracion, proveen, beneficiarios, sistemas"
ENERGIA,AUTOGENERACION,EOLICO,ENERGIA.AUTOGENERACION.EOLICO,"Inicitivas que proveen servicio de energía para los beneficiarios, otorgado mediante sistemas de autogeneración que utiliza la energía eólica.",POTENCIA SISTEMA (KW) | NUMERO DE EMPALMES,"eolico, energia, eolica, utiliza, otorgado","autogeneracion, proveen, beneficiarios, sistemas"
ENERGIA,AUTOGENERACION,"COMBUSTION (DIESEL, GAS, BIOMASA)",ENERGIA.AUTOGENERACION.COMBUSTION_DIESEL_GAS_BIOMASA,"Inicitivas que proveen servicio de energía para los beneficiarios, otorgado mediante sistemas de autogeneración utilizando combustibles.",POTENCIA SISTEMA (KW) | NUMERO DE EMPALMES,"diesel, biomasa, combustion, gas, utilizando","combustibles, otorgado, autogeneracion, proveen, beneficiarios, energia, sistemas"
ENERGIA,AUTOGENERACION,TECHOS SOLARES,ENERGIA.AUTOGENERACION.TECHOS_SOLARES,"Considera iniciativas de inversión orientados a edificios públicos para complementar o sustiruir la energía eléctrica con paneles fotovoltaicos instalados principalmente en los techos de los edificios , de modo reducir la cuenta de gastos de energía.",POTENCIAL INSTALADA (KW) | NÚMERO DE ESTABLECIMIENTOS PÚBLICOS,"techos, solares, edificios, energia, orientados","complementar, sustiruir, paneles, fotovoltaicos, instalados, modo, reducir, gastos"
ENERGIA,AUTOGENERACION,OTROS AUTOGENERACION,ENERGIA.AUTOGENERACION.OTROS_AUTOGENERACION,"Inicitivas que proveen servicio de energía para los beneficiarios, otorgado mediante otros sistemas sistemas de autogeneración.",POTENCIA SISTEMA (KW) | POTENCIA INSTALADA (KW) | CAPACIDAD INSTALADA (l) | NUMERO DE EMPALMES | NUMERO DE SOLUCIONES | NUMERO DE LUMINARIAS | NÚMERO DE ESTABLECIMIENTOS PÚBLICOS,"autogeneracion, sistemas, otorgado, proveen, beneficiarios",energia
ENERGIA,DISTRIBUCION Y CONEXION FINAL USUARIOS,RED DE DISTRIBUCION DE GAS,ENERGIA.DISTRIBUCION_Y_CONEXION_FINAL_USUARIOS.RED_DE_DISTRIBUCION_DE_GAS,Iniciativas de redes de distribución de gas natural hacia los consumidores finales.,KILOMETROS | NUMERO DE EMPALMES,"gas, distribucion, red, consumidores, finales","natural, redes"
ENERGIA,DISTRIBUCION Y CONEXION FINAL USUARIOS,RED DE DISTRIBUCION DE ELECTRICA,ENERGIA.DISTRIBUCION_Y_CONEXION_FINAL_USUARIOS.RED_DE_DISTRIBUCION_DE_ELECTRICA,"iniciativas para distribución de energía hacia los consumidores finales, desde la subestación de distribución hasta los usuarios finales (medidor del cliente).",KILOMETROS | NUMERO DE EMPALMES,"distribucion, electrica, red, finales, subestacion","usuarios, medidor, cliente, consumidores, hasta, energia"
ENERGIA,DISTRIBUCION Y CONEXION FINAL USUARIOS,EXTENSION LINEA MEDIA TENSION Y BAJA TENSION,ENERGIA.DISTRIBUCION_Y_CONEXION_FINAL_USUARIOS.EXTENSION_LINEA_MEDIA_TENSION_Y_BAJA_TENSION,"iniciativas de electrificación para abastecer de electricidad a una o más localidades rurales, con redes de media tensión y baja tensión.",KILOMETROS | NUMERO DE EMPALMES,"tension, extension, linea, baja, media","abastecer, electricidad, electrificacion, localidades, rurales, redes"
ENERGIA,DISTRIBUCION Y CONEXION FINAL USUARIOS,EXTENSION LINEA BAJA TENSION,ENERGIA.DISTRIBUCION_Y_CONEXION_FINAL_USUARIOS.EXTENSION_LINEA_BAJA_TENSION,"iniciativas de electrificación para abastecer de electricidad a una o más localidades rurales, con redes de baja tensión.",KILOMETROS | NUMERO DE EMPALMES,"tension, extension, linea, baja, abastecer","electricidad, electrificacion, localidades, rurales, redes"
ENERGIA,ADMINISTRACION ENERGIA,EDIFICACION PUBLICA,ENERGIA.ADMINISTRACION_ENERGIA.EDIFICACION_PUBLICA,"Considera iniciativas de edificación y equipamiento destinadas al funcionamiento administrativo del sector, (por ejemplo: oficinas administrativas del Ministerio de Energía y sus organismos dependientes)",METROS CUADRADOS | NUMERO DE FUNCIONARIOS | UNIDAD (Para la compra de equipos o equipamiento),"organismos, dependientes, administrativas, energia",
ENERGIA,INTERSUBSECTORIAL ENERGIA,INTERSUBSECTORIAL ENERGIA,ENERGIA.INTERSUBSECTORIAL_ENERGIA.INTERSUBSECTORIAL_ENERGIA,Iniciativas que consideran acciones que agrupan proyectos relacionados con más de un subsector.,POTENCIA SISTEMA (KW) | POTENCIA INSTALADA (KW) | CAPACIDAD INSTALADA (l) | NUMERO DE EMPALMES | NUMERO DE SOLUCIONES | NUMERO DE LUMINARIAS | NÚMERO DE ESTABLECIMIENTOS PÚBLICOS | KILOMETROS,"energia, intersubsectorial, consideran, acciones, agrupan",relacionados
JUSTICIA,ADMINISTRACION DE JUSTICIA,FISCALIA (MINISTERIO PUBLICO),JUSTICIA.ADMINISTRACION_DE_JUSTICIA.FISCALIA_MINISTERIO_PUBLICO,"Iniciativas destinadas al funcionamiento de Fiscalias de nivel nacional, regional o local.",METROS CUADRADOS,"fiscalia, fiscalias, nivel",
JUSTICIA,ADMINISTRACION DE JUSTICIA,JUZGADO (PODER JUDICIAL - CAPJ),JUSTICIA.ADMINISTRACION_DE_JUSTICIA.JUZGADO_PODER_JUDICIAL__CAPJ,"inversiones en establecimientos para impartir justicia: Corte Suprema, Cortes de Apelaciones, Tribunales de Primera Instancia, Juzgados, complejos judiciales.",METROS CUADRADOS,"juzgado, judicial, capj, impartir, corte","suprema, cortes, apelaciones, tribunales, instancia, juzgados, complejos, judiciales"
JUSTICIA,ADMINISTRACION DE JUSTICIA,REGISTRO CIVIL E IDENTIFICACION,JUSTICIA.ADMINISTRACION_DE_JUSTICIA.REGISTRO_CIVIL_E_IDENTIFICACION,inversión destinados a construcción y equipamiento oficinas del Registro Civile e Identificacion.,METROS CUADRADOS,"identificacion, registro, civil, civile, construccion",destinados
JUSTICIA,ADMINISTRACION DE JUSTICIA,SERVICIO MEDICO LEGAL (SML),JUSTICIA.ADMINISTRACION_DE_JUSTICIA.SERVICIO_MEDICO_LEGAL_SML,"inversión destinados a construcción y equipamiento oficinas administrativas y operativas, laboratorios u otras dependencias del Servicio Médico Legal",METROS CUADRADOS,"medico, legal, sml, operativas, dependencias","laboratorios, construccion, administrativas, destinados"
JUSTICIA,ADMINISTRACION DE JUSTICIA,SERVICIOS CENTRALIZADOS JUSTICIA,JUSTICIA.ADMINISTRACION_DE_JUSTICIA.SERVICIOS_CENTRALIZADOS_JUSTICIA,"Inversiones en Edificaciones que alberguen Seremis, Ministerio o entidades relacionadas que se agrupan en ""Edificios sector justicia """,METROS CUADRADOS,"justicia, centralizados, alberguen, seremis, edificios",agrupan
JUSTICIA,INTERSUBSECTORIAL JUSTICIA,INTERSUBSECTORIAL JUSTICIA,JUSTICIA.INTERSUBSECTORIAL_JUSTICIA.INTERSUBSECTORIAL_JUSTICIA,Iniciativas que consideran acciones que agrupan proyectos relacionados con más de un subsector.,METROS CUADRADOS,"justicia, intersubsectorial, consideran, acciones, agrupan",relacionados
JUSTICIA,ASISTENCIA DE MENORES,CENTRO DE INTERNACION PROVISORIA (CIP),JUSTICIA.ASISTENCIA_DE_MENORES.CENTRO_DE_INTERNACION_PROVISORIA_CIP,"Iniciativas de infraestructura en establecimientos centro de Internación régimen Cerrado, semicerrado y centros CREAD. (Centros de Reinserción de adolescentes).",METROS CUADRADOS,"internacion, provisoria, cip, centro, centros","semicerrado, cread, adolescentes, cerrado, regimen, reinsercion"
JUSTICIA,ASISTENCIA DE MENORES,CENTRO DE INTERNACION REGIMEN CERRADO (CRC),JUSTICIA.ASISTENCIA_DE_MENORES.CENTRO_DE_INTERNACION_REGIMEN_CERRADO_CRC,Iniciativas de infraestructura en establecimientos centro de Internación régimen Cerrado.,METROS CUADRADOS,"internacion, cerrado, crc, regimen, centro",
JUSTICIA,ASISTENCIA DE MENORES,CENTRO DE INTERNACION REGIMEN SEMICERRADO (CSC),JUSTICIA.ASISTENCIA_DE_MENORES.CENTRO_DE_INTERNACION_REGIMEN_SEMICERRADO_CSC,Iniciativas de infraestructura en establecimientos centro de Internación régimen semicerrado.,METROS CUADRADOS,"semicerrado, internacion, csc, regimen, centro",
JUSTICIA,ASISTENCIA DE MENORES,CENTROS DE REPARACION ESPECIALIZADOS DE ADMINISTRACION DIRECTA (CREAD),JUSTICIA.ASISTENCIA_DE_MENORES.CENTROS_DE_REPARACION_ESPECIALIZADOS_DE_ADMINISTRACION_DIRECTA_CREAD,Iniciativas de infraestructura en establecimientos Centros de Reinserción de adolescentes (CREAD).,METROS CUADRADOS,"cread, especializados, reparacion, directa, centros","adolescentes, reinsercion"
JUSTICIA,ASISTENCIA DE MENORES,OTROS ASISTENCIA DE MENORES,JUSTICIA.ASISTENCIA_DE_MENORES.OTROS_ASISTENCIA_DE_MENORES,Iniciativas no clasificadas en tipos anteriores,METROS CUADRADOS,"asistencia, menores",
JUSTICIA,REHABILITACION ADULTOS,COMPLEJO PENITENCIARIO (CP),JUSTICIA.REHABILITACION_ADULTOS.COMPLEJO_PENITENCIARIO_CP,"iniciativas para establecimientos penitenciarios que coexisten en un mismo perímetro, y aplican un régimen interno y tratamiento diferenciado a los internos, con el apoyo de servicios únicos centralizados de seguridad, administración, salud, reinserción social, laboral y de registro y movimiento de la población penal (condenada o imputada).",METROS CUADRADOS,"complejo, penitenciario, coexisten, perimetro, aplican","interno, diferenciado, internos, unicos, condenada, imputada, centralizados, laboral"
JUSTICIA,REHABILITACION ADULTOS,CENTRO DE CUMPLIMIENTO PENITENCIARIO (CCP),JUSTICIA.REHABILITACION_ADULTOS.CENTRO_DE_CUMPLIMIENTO_PENITENCIARIO_CCP,iniciativas para establecimientos penitenciarios destinados al cumplimiento de penas privativas de libertad (condenados).,METROS CUADRADOS,"cumplimiento, ccp, penitenciario, centro, penas","privativas, libertad, condenados, penitenciarios, destinados"
JUSTICIA,REHABILITACION ADULTOS,CENTRO DE DETENCION PREVENTIVA (CDP),JUSTICIA.REHABILITACION_ADULTOS.CENTRO_DE_DETENCION_PREVENTIVA_CDP,Iniciativa para establecimiento penitenciarios destinados preferentemente a albergar imputados y procesados.,METROS CUADRADOS,"cdp, detencion, preventiva, centro, imputados","procesados, preferentemente, albergar, penitenciarios, destinados"
JUSTICIA,REHABILITACION ADULTOS,CENTRO PENITENCIARIO FEMENINO (CPF),JUSTICIA.REHABILITACION_ADULTOS.CENTRO_PENITENCIARIO_FEMENINO_CPF,Iniciativa para establecimiento penitenciarios destinados preferentemente a albergar a población femenina de imputadas y procesadas.,METROS CUADRADOS,"femenino, cpf, penitenciario, centro, femenina","imputadas, procesadas, preferentemente, albergar, penitenciarios, poblacion, destinados"
JUSTICIA,REHABILITACION ADULTOS,UNIDAD ESPECIAL DE ALTA SEGURIDAD (UEAS),JUSTICIA.REHABILITACION_ADULTOS.UNIDAD_ESPECIAL_DE_ALTA_SEGURIDAD_UEAS,Establecimiento destinado para población penal que sean calificados de peligrosidad extrema.,METROS CUADRADOS,"especial, ueas, unidad, alta, seguridad","sean, calificados, peligrosidad, extrema, penal, poblacion"
JUSTICIA,REHABILITACION ADULTOS,RED CONTRA INCENDIO SUBSISTEMA CERRADO,JUSTICIA.REHABILITACION_ADULTOS.RED_CONTRA_INCENDIO_SUBSISTEMA_CERRADO,Inversiones en reponer las redes contra incendio de los establecimiento del sistema cerrado,METROS CUADRADOS,"incendio, contra, cerrado, subsistema, red","reponer, sistema, redes"
JUSTICIA,REHABILITACION ADULTOS,CENTRO DE EDUCACION Y TRABAJO (CET),JUSTICIA.REHABILITACION_ADULTOS.CENTRO_DE_EDUCACION_Y_TRABAJO_CET,"establecimientos penitenciarios o secciones de ellos, para la reinserción social de las personas condenadas, proporcionándoles o facilitándoles trabajo regular y remunerado, capacitación o formación laboral, psicosocial y educación.",METROS CUADRADOS,"trabajo, cet, educacion, centro, secciones","ellos, condenadas, proporcionandoles, facilitandoles, regular, remunerado, capacitacion, laboral"
JUSTICIA,REHABILITACION ADULTOS,CENTRO DE REINSERCION SOCIAL (CRS),JUSTICIA.REHABILITACION_ADULTOS.CENTRO_DE_REINSERCION_SOCIAL_CRS,"Inicitivas para establecimientos destinados al seguimiento, asistencia y control de los condenados que por un beneficio legal o reglamentario se encuentren en el medio libre.",METROS CUADRADOS,"crs, reinsercion, social, centro, seguimiento","beneficio, reglamentario, encuentren, condenados, legal, libre, asistencia, medio"
JUSTICIA,REHABILITACION ADULTOS,CENTRO DE APOYO PARA LA INTEGRACION SOCIAL (CAIS),JUSTICIA.REHABILITACION_ADULTOS.CENTRO_DE_APOYO_PARA_LA_INTEGRACION_SOCIAL_CAIS,"iniciativas para establecimiento para asistencia a las personas que, habiendo cumplido sus condenas, requieran de apoyo para la reinserción social.",METROS CUADRADOS,"integracion, cais, social, apoyo, centro","habiendo, cumplido, condenas, requieran, asistencia, personas, reinsercion"
VIVIENDA Y DESARROLLO URBANO,"BORDE COSTERO,PASEOS PEATONALES, PLAYAS",BORDE COSTERO,VIVIENDA_Y_DESARROLLO_URBANO.BORDE_COSTEROPASEOS_PEATONALES_PLAYAS.BORDE_COSTERO,"iniciativas de inversión para el mejoramiento del espacio público en riberas, relacionadas con servicios de infraestructura costera, marítima, fluvial y lacustre, para fines de esparcimiento, recreacion,",METROS CUADRADOS,"costero, borde, espacio, costera, fluvial","lacustre, esparcimiento, maritima, fines, recreacion, riberas, mejoramiento"
VIVIENDA Y DESARROLLO URBANO,"BORDE COSTERO,PASEOS PEATONALES, PLAYAS",PLAYAS,VIVIENDA_Y_DESARROLLO_URBANO.BORDE_COSTEROPASEOS_PEATONALES_PLAYAS.PLAYAS,"iniciativas para generación, hablitacion o mejoramiento de playas en el borde marítimo, fluvial o lacustre.",METROS CUADRADOS,"playas, hablitacion, fluvial, lacustre, generacion","maritimo, borde, mejoramiento"
VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO,ACERAS,VIVIENDA_Y_DESARROLLO_URBANO.DESARROLLO_URBANO.ACERAS,Iniciativas para pavimentación de aceras en calles o pasajes,METROS LINEALES,"aceras, pasajes, pavimentacion, calles",
VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO,PASEO PEATONAL,VIVIENDA_Y_DESARROLLO_URBANO.DESARROLLO_URBANO.PASEO_PEATONAL,"inciativas para la peatonalización o semipeatonalización, asociada al cierre total o parcial de vías al tráfico vehicular en vias estructurantes o no estructurantes, dándole exclusividad o semi-exclusividad al peatón.",METROS CUADRADOS,"paseo, peatonal, exclusividad, estructurantes, vias","inciativas, peatonalizacion, semipeatonalizacion, asociada, total, parcial, trafico, dandole"
VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO,PLAZA,VIVIENDA_Y_DESARROLLO_URBANO.DESARROLLO_URBANO.PLAZA,Inicitivas para plazas o plazoletas públicas.,METROS CUADRADOS,"plaza, plazoletas, plazas",
VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO,PLAZA CIVICA,VIVIENDA_Y_DESARROLLO_URBANO.DESARROLLO_URBANO.PLAZA_CIVICA,"Inicitivas para plazas civicas, de armas o de carácter comunal.",METROS CUADRADOS,"civica, plaza, civicas, armas, plazas",caracter
VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO,MACROURBANIZACION,VIVIENDA_Y_DESARROLLO_URBANO.DESARROLLO_URBANO.MACROURBANIZACION,"proyectos de macro infraestructura urbananque tienen por finalidad habilitar suelo para uso urbano, considerar las redes principales de agua potable, aguas servidas, aguas lluvias cuando corresponda, redes de urbanización eléctrica y todas las obras necesarias que permitan la plena habilitación del área a integrar, como plantas elevadoras y de tratamiento de aguas servidas, copas de agua, muros de contención, defensas fluviales, etc.",METROS LINEALES,"macrourbanizacion, aguas, servidas, redes, agua","macro, urbananque, habilitar, considerar, principales, corresponda, necesarias, permitan"
VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO,PARQUE,VIVIENDA_Y_DESARROLLO_URBANO.DESARROLLO_URBANO.PARQUE,iniciativas de parques urbanos comunales o intercomunales en areas verdes superiores a 1 hectarea.,METROS CUADRADOS,"parque, parques, intercomunales, superiores, hectarea","verdes, urbanos, areas"
VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO,OTROS ESPACIOS PUBLICOS,VIVIENDA_Y_DESARROLLO_URBANO.DESARROLLO_URBANO.OTROS_ESPACIOS_PUBLICOS,iniciativas de espacios publicos no clasificados en tipos anteriores,METROS CUADRADOS,"espacios, clasificados",
